지역,파크골프장,전화번호,주소,홀수
강원,철원군파크골프장,,강원특별자치도 철원군 갈말읍 군탄리 869,36
강원,청일파크골프장,,강원특별자치도 횡성군 청일면 유평리 613-1,18
강원,춘천 서면파크골프장,,강원특별자치도 춘천시 서면 박서로800,18
강원,춘천 소양강파크골프장,,강원특별자치도 춘천시 장학리 459-11,18
강원,취병파크골프장,,강원특별자치도 원주시 문막읍 취병리 438-37번지,18
강원,태백파크골프장,,강원특별자치도 태백시 백두대간로 179 태백스포츠파크 내,18
강원,태장파크골프장,,강원특별자치도 원주시 태장동1346-16 둔치,18
강원,평창 파크골프장,,강원특별자치도 평창군 평창읍 제방길 101,18
강원,학성파크골프장,,강원특별자치도 원주시 학성동 36번지,18
강원,한반도섬 파크골프장,,강원특별자치도 양구군 양구읍 파라호로 855번길,27
강원,행구수변공원파크골프장,,강원특별자치도 원주시 행구동 1029번지,9
강원,현리근린공원파크골프장,,강원특별자치도 인제군 기린면 현리 785 근린공원,9
강원,홍천강변파크골프장,,강원특별자치도 홍천군 홍천읍 갈마곡리 267-10,18
강원,화천 산천어파크골프장(1구장),,강원특별자치도 화천군 하남면 춘화로 3061-17,18
강원,화천 산천어파크골프장(2구장),,강원특별자치도 화천군 하남면 춘화로 3061-17,18
강원,화천 생활체육공원파크골프장,,강원특별자치도 화천군 하남면 춘화로 3225-56,18
강원,횡성파크골프장,,강원특별자치도 횡성군 횡성읍 앞들동2로 45-19,18
경상,가곡파크골프장,,경상남도 밀양시 가곡동 743-2,18
경상,가산수변공원 파크골프장,,경상남도 양산시 동면 가산리807,36
경상,가산파크골프장,,경상북도 칠곡군 가산면 송학리 268,9
경상,가조파크골프장,,경상남도 거창군 가조면 일부리 1121-1,9
경상,가창파크골프장,,대구광역시 달성군 가창면 옥분리 788-1,18
경상,가포체육공원 파크골프장,,경상남도 창원시 마산합포구 가포신항남로 37,9
경상,각북파크골프장,,경상북도 청도군 각북면 낙산1길 산들팬션앞,18
경상,강남파크골프장,,경상북도 안동시 정상동 779,36
경상,강변파크골프장(거창군),,경상남도 거창군 거창읍 대평리 강변,9
경상,강변파크골프장(북구),,대구광역시 북구 서변동 1506 강변축구장 옆,45
경상,강변파크골프장(사하구),,부산광역시 사하구 을숙도대로 466,9
경상,강창파크골프장,,대구광역시 달성군 다사읍 매곡리 91,18
경상,거제파크골프장,,경상남도 거제시 거제면 스포츠파크 내,27
경상,거창군 파크골프장,,경상남도 거창군 거창읍 심소정길 39-36,36
경상,거창파크골프장(제4구장),,경상남도 거창군 거창읍 심소정길 강변,9
경상,건천파크골프장,,경상북도 경주시 건천읍 천포리 1112번지,9
경상,경산파크골프장,,경상북도 경산시 강변동로 369,18
경상,경주파크골프장,,경상북도 경주시 석장동1169-1,18
경상,계평파크골프장,,경상북도 안동시 계평리 717,27
경상,고로파크골프장,,대구광역시 군위군 삼국유사면 석산리 560,18
경상,고아파크골프장,,경상북도 구미시 고아읍 예강리 695-1,36
경상,고전파크골프장,,경상남도 하동군 고전면 전도리 882-3,18
경상,곡강천파크골프장,,경상북도 포항시 남구 효곡동,36
경상,과학관공원 파크골프장,,대구광역시 달성군 유가읍 상리 916-1,9
경상,광석골파크골프장,,경상남도 창원시 진해구 장천동 765번지,6
경상,구미파크골프장,,경상북도 구미시 낙동제방길 200 낙동강체육공원 내,54
경상,구지1호근린공원 파크골프장,,대구광역시 달성군 구지면 내리 840 산업단지1호근린공원,18
경상,구지평촌파크골프장,,대구광역시 달성군 구지면 평촌리 1-10,18
경상,군북파크골프장,,경상남도 함안군 군북면 함안산단7길70,36
경상,군위파크골프장,,대구광역시 군위군 군위읍 내량길 28-60,36
경상,금서파크골프장,,경상남도 산청군 금서면 동의보감로 645,9
경상,금성파크골프장,,경상북도 의성군 금성면 탑운길 99,9
경상,금소파크골프장,,경상북도 안동시 임하면 금소리 생태공원,18
경상,금천파크골프장,,경상북도 청도군 금천면 동곡리 새들보옆,18
경상,기장파크골프장,,부산광역시 기장군 정관읍 모전리677 물빛공원,6
경상,김천파크골프장,,경상북도 김천시 지좌동157-1,27
경상,남구 대공원 파크골프장,,울산광역시 남구 대공원로 94,18
경상,남구 태화강 파크골프장,,울산광역시 남구 신정동 391,36
경상,남구파크골프장,,대구광역시 남구 봉덕동 산128-1,9
